produto;sexo;idade_entrada;breakeven_exibido;breakeven_real;regra;resgate_10a_por_1mm;aportes_10a_por_1mm;pct_do_aportado
METLIFE_VIDA_TOTAL_10;F;44;10;10;FIXO;483490.87;463416.80;104.33
METLIFE_VIDA_TOTAL_10;F;45;10;10;FIXO;494927.52;475657.50;104.05
METLIFE_VIDA_TOTAL_10;F;46;10;10;FIXO;506541.92;488257.90;103.74
METLIFE_VIDA_TOTAL_10;F;47;10;10;FIXO;518351.42;501133.80;103.44
METLIFE_VIDA_TOTAL_10;F;48;10;10;FIXO;530379.18;514396.10;103.11
METLIFE_VIDA_TOTAL_10;F;49;10;10;FIXO;542644.40;528012.30;102.77
METLIFE_VIDA_TOTAL_10;F;50;10;10;FIXO;555139.52;534088.10;103.94
METLIFE_VIDA_TOTAL_10;F;51;10;10;FIXO;567845.79;548190.60;103.59
METLIFE_VIDA_TOTAL_10;F;52;10;10;FIXO;580725.64;562636.80;103.22
METLIFE_VIDA_TOTAL_10;F;53;10;10;FIXO;593728.78;577410.00;102.83
METLIFE_VIDA_TOTAL_10;F;54;10;10;FIXO;606797.86;592574.90;102.40
METLIFE_VIDA_TOTAL_10;F;55;10;10;FIXO;619909.62;608125.00;101.94
METLIFE_VIDA_TOTAL_10;F;56;10;10;CALCULADO;633061.01;624100.30;101.44
METLIFE_VIDA_TOTAL_10;F;57;10;10;CALCULADO;646271.72;640654.70;100.88
METLIFE_VIDA_TOTAL_10;F;58;10;10;CALCULADO;659571.93;657837.30;100.26
METLIFE_VIDA_TOTAL_10;F;59;11;11;CALCULADO;672987.91;675762.50;99.59
METLIFE_VIDA_TOTAL_10;F;60;11;11;CALCULADO;686509.67;687881.50;99.80
METLIFE_VIDA_TOTAL_10;F;61;11;11;CALCULADO;700095.59;707386.50;98.97
METLIFE_VIDA_TOTAL_10;F;63;12;12;CALCULADO;727142.14;748875.00;97.10
METLIFE_VIDA_TOTAL_10;F;64;13;13;CALCULADO;740419.57;770928.20;96.04
METLIFE_VIDA_TOTAL_10;F;65;14;14;CALCULADO;753443.15;793780.10;94.92
METLIFE_VIDA_TOTAL_10;F;66;18;18;CALCULADO;766182.27;855896.30;89.52
METLIFE_VIDA_TOTAL_10;F;67;20;20;CALCULADO;778643.41;880826.20;88.40
METLIFE_VIDA_TOTAL_10;F;68;22;22;CALCULADO;790848.56;907306.40;87.16
METLIFE_VIDA_TOTAL_10;F;69;25;25;CALCULADO;802813.01;935887.80;85.78
METLIFE_VIDA_TOTAL_10;F;70;23;23;CALCULADO;814527.05;926026.40;87.96
METLIFE_VIDA_TOTAL_10;F;71;21;21;CALCULADO;825947.05;922735.90;89.51
METLIFE_VIDA_TOTAL_10;F;72;24;24;CALCULADO;837008.75;956692.70;87.49
METLIFE_VIDA_TOTAL_10;F;73;26;26;CALCULADO;847635.69;993307.80;85.33
METLIFE_VIDA_TOTAL_10;F;74;;;CALCULADO;857777.93;1032667.70;83.06
METLIFE_VIDA_TOTAL_10;F;75;;;CALCULADO;867421.30;1074995.60;80.69
METLIFE_VIDA_TOTAL_10;M;18;10;11;FIXO;274639.24;278738.00;98.53
METLIFE_VIDA_TOTAL_10;M;19;10;11;FIXO;281822.74;285407.10;98.74
METLIFE_VIDA_TOTAL_10;M;20;10;11;FIXO;289232.42;292229.50;98.97
METLIFE_VIDA_TOTAL_10;M;21;10;11;FIXO;296868.21;299213.80;99.22
METLIFE_VIDA_TOTAL_10;M;22;10;11;FIXO;304723.15;306472.30;99.43
METLIFE_VIDA_TOTAL_10;M;23;10;11;FIXO;312797.60;313993.40;99.62
METLIFE_VIDA_TOTAL_10;M;24;10;11;FIXO;321085.26;321800.50;99.78
METLIFE_VIDA_TOTAL_10;M;25;10;11;FIXO;329587.00;329905.50;99.90
METLIFE_VIDA_TOTAL_10;M;26;10;11;FIXO;338304.04;338334.30;99.99
METLIFE_VIDA_TOTAL_10;M;27;10;10;FIXO;347237.97;347075.40;100.05
METLIFE_VIDA_TOTAL_10;M;28;10;10;FIXO;356377.51;356170.10;100.06
METLIFE_VIDA_TOTAL_10;M;29;10;10;FIXO;365724.98;365541.40;100.05
METLIFE_VIDA_TOTAL_10;M;30;10;10;FIXO;375283.11;372959.70;100.62
METLIFE_VIDA_TOTAL_10;M;31;10;10;FIXO;385042.46;382910.80;100.56
METLIFE_VIDA_TOTAL_10;M;32;10;10;FIXO;395006.73;393173.30;100.47
METLIFE_VIDA_TOTAL_10;M;33;10;10;FIXO;405180.11;403797.10;100.34
METLIFE_VIDA_TOTAL_10;M;34;10;10;FIXO;415561.37;414684.90;100.21
METLIFE_VIDA_TOTAL_10;M;35;10;10;FIXO;426149.99;421257.80;101.16
METLIFE_VIDA_TOTAL_10;M;36;10;10;FIXO;436940.41;423358.20;103.21
METLIFE_VIDA_TOTAL_10;M;37;10;10;FIXO;447933.71;430252.70;104.11
METLIFE_VIDA_TOTAL_10;M;38;10;10;FIXO;459131.83;441948.70;103.89
METLIFE_VIDA_TOTAL_10;M;39;10;10;FIXO;470532.18;453955.80;103.65
METLIFE_VIDA_TOTAL_10;M;40;10;10;FIXO;482133.31;467138.10;103.21
METLIFE_VIDA_TOTAL_10;M;41;10;10;FIXO;493924.51;479801.20;102.94
METLIFE_VIDA_TOTAL_10;M;42;10;10;FIXO;505891.58;492790.00;102.66
METLIFE_VIDA_TOTAL_10;M;43;10;10;FIXO;518017.21;506123.20;102.35
METLIFE_VIDA_TOTAL_10;M;44;10;10;FIXO;530281.42;519867.50;102.00
METLIFE_VIDA_TOTAL_10;M;45;10;10;FIXO;542671.42;533985.70;101.63
METLIFE_VIDA_TOTAL_10;M;46;10;10;FIXO;555172.22;548485.50;101.22
METLIFE_VIDA_TOTAL_10;M;47;10;10;FIXO;567776.01;563392.50;100.78
METLIFE_VIDA_TOTAL_10;M;48;10;10;FIXO;580486.37;578738.60;100.30
METLIFE_VIDA_TOTAL_10;M;49;10;10;FIXO;593287.94;588334.10;100.84
METLIFE_VIDA_TOTAL_10;M;50;10;10;FIXO;606160.60;599226.80;101.16
METLIFE_VIDA_TOTAL_10;M;51;10;10;FIXO;619084.24;615854.10;100.52
METLIFE_VIDA_TOTAL_10;M;52;10;11;FIXO;632039.28;633004.60;99.85
METLIFE_VIDA_TOTAL_10;M;53;10;11;FIXO;644984.55;650687.50;99.12
METLIFE_VIDA_TOTAL_10;M;54;10;11;FIXO;657885.12;668982.70;98.34
METLIFE_VIDA_TOTAL_10;M;55;10;12;FIXO;670715.81;687858.20;97.51
METLIFE_VIDA_TOTAL_10;M;56;12;12;CALCULADO;683460.94;707426.40;96.61
METLIFE_VIDA_TOTAL_10;M;57;13;13;CALCULADO;696114.10;727682.30;95.66
