produto;sexo;idade;taxa_anual_por_1mm;capital_max;fonte;origem
MAG_WL_INTEGRAL_10;F;16;23123.022514;;PDF;MAG\MULHER\MAG - MULHER - 16 ANOS.pdf
MAG_WL_INTEGRAL_10;F;17;23692.289301;;PDF;MAG\MULHER\MAG - MULHER - 17 ANOS.pdf
MAG_WL_INTEGRAL_10;F;18;24272.335127;;PDF;MAG\MULHER\MAG - MULHER - 18 ANOS.pdf
MAG_WL_INTEGRAL_10;F;19;24860.420402;;PDF;MAG\MULHER\MAG - MULHER - 19 ANOS.pdf
MAG_WL_INTEGRAL_10;F;20;25456.913728;;PDF;MAG\MULHER\MAG - MULHER - 20 ANOS.pdf
MAG_WL_INTEGRAL_10;F;21;26062.831241;;PDF;MAG\MULHER\MAG - MULHER - 21 ANOS.pdf
MAG_WL_INTEGRAL_10;F;22;26680.394501;;PDF;MAG\MULHER\MAG - MULHER - 22 ANOS.pdf
MAG_WL_INTEGRAL_10;F;23;27311.177525;;PDF;MAG\MULHER\MAG - MULHER - 23 ANOS.pdf
MAG_WL_INTEGRAL_10;F;24;27957.192668;;PDF;MAG\MULHER\MAG - MULHER - 24 ANOS.pdf
MAG_WL_INTEGRAL_10;F;25;28620.581789;;PDF;MAG\MULHER\MAG - MULHER - 25 ANOS.pdf
MAG_WL_INTEGRAL_10;F;26;29302.490536;;PDF;MAG\MULHER\MAG - MULHER - 26 ANOS.pdf
MAG_WL_INTEGRAL_10;F;27;30001.833034;;PDF;MAG\MULHER\MAG - MULHER - 27 ANOS.pdf
MAG_WL_INTEGRAL_10;F;28;30718.639171;;PDF;MAG\MULHER\MAG - MULHER - 28 ANOS.pdf
MAG_WL_INTEGRAL_10;F;29;31452.540347;;PDF;MAG\MULHER\MAG - MULHER - 29 ANOS.pdf
MAG_WL_INTEGRAL_10;F;30;32204.044630;;PDF;MAG\MULHER\MAG - MULHER - 30 ANOS.pdf
MAG_WL_INTEGRAL_10;F;31;32973.351265;;PDF;MAG\MULHER\MAG - MULHER - 31 ANOS.pdf
MAG_WL_INTEGRAL_10;F;32;33761.257223;;PDF;MAG\MULHER\MAG - MULHER - 32 ANOS.pdf
MAG_WL_INTEGRAL_10;F;33;34568.121140;;PDF;MAG\MULHER\MAG - MULHER - 33 ANOS.pdf
MAG_WL_INTEGRAL_10;F;34;35393.873282;;PDF;MAG\MULHER\MAG - MULHER - 34 ANOS.pdf
MAG_WL_INTEGRAL_10;F;35;36238.961945;;PDF;MAG\MULHER\MAG - MULHER - 35 ANOS.pdf
MAG_WL_INTEGRAL_10;F;36;37103.825463;;PDF;MAG\MULHER\MAG - MULHER - 36 ANOS.pdf
MAG_WL_INTEGRAL_10;F;37;37990.306834;;PDF;MAG\MULHER\MAG - MULHER - 37 ANOS.pdf
MAG_WL_INTEGRAL_10;F;38;38898.963937;;PDF;MAG\MULHER\MAG - MULHER - 38 ANOS.pdf
MAG_WL_INTEGRAL_10;F;39;39830.563857;;PDF;MAG\MULHER\MAG - MULHER - 39 ANOS.pdf
MAG_WL_INTEGRAL_10;F;40;40784.907352;;PDF;MAG\MULHER\MAG - MULHER - 40 ANOS.pdf
MAG_WL_INTEGRAL_10;F;41;41761.844989;;PDF;MAG\MULHER\MAG - MULHER - 41 ANOS.pdf
MAG_WL_INTEGRAL_10;F;42;42760.241084;;PDF;MAG\MULHER\MAG - MULHER - 42 ANOS.pdf
MAG_WL_INTEGRAL_10;F;43;43781.490337;;PDF;MAG\MULHER\MAG - MULHER - 43 ANOS.pdf
MAG_WL_INTEGRAL_10;F;44;44827.047221;;PDF;MAG\MULHER\MAG - MULHER - 44 ANOS.pdf
MAG_WL_INTEGRAL_10;F;45;45899.491931;;PDF;MAG\MULHER\MAG - MULHER - 45 ANOS.pdf
MAG_WL_INTEGRAL_10;F;46;46999.790795;;PDF;MAG\MULHER\MAG - MULHER - 46 ANOS.pdf
MAG_WL_INTEGRAL_10;F;47;48129.169157;;PDF;MAG\MULHER\MAG - MULHER - 47 ANOS.pdf
MAG_WL_INTEGRAL_10;F;48;49286.033074;;PDF;MAG\MULHER\MAG - MULHER - 48 ANOS.pdf
MAG_WL_INTEGRAL_10;F;49;50470.790994;;PDF;MAG\MULHER\MAG - MULHER - 49 ANOS.pdf
MAG_WL_INTEGRAL_10;F;50;51684.718071;;PDF;MAG\MULHER\MAG - MULHER - 50 ANOS.pdf
MAG_WL_INTEGRAL_10;F;51;52932.217573;;PDF;MAG\MULHER\MAG - MULHER - 51 ANOS.pdf
MAG_WL_INTEGRAL_10;F;52;54216.606894;;PDF;MAG\MULHER\MAG - MULHER - 52 ANOS.pdf
MAG_WL_INTEGRAL_10;F;53;55544.580594;;PDF;MAG\MULHER\MAG - MULHER - 53 ANOS.pdf
MAG_WL_INTEGRAL_10;F;54;56920.083682;;PDF;MAG\MULHER\MAG - MULHER - 54 ANOS.pdf
MAG_WL_INTEGRAL_10;F;55;58345.576808;;PDF;MAG\MULHER\MAG - MULHER - 55 ANOS.pdf
MAG_WL_INTEGRAL_10;F;56;59820.880654;;PDF;MAG\MULHER\MAG - MULHER - 56 ANOS.pdf
MAG_WL_INTEGRAL_10;F;57;61349.322574;;PDF;MAG\MULHER\MAG - MULHER - 57 ANOS.pdf
MAG_WL_INTEGRAL_10;F;58;62934.997011;;PDF;MAG\MULHER\MAG - MULHER - 58 ANOS.pdf
MAG_WL_INTEGRAL_10;F;59;64582.805340;;PDF;MAG\MULHER\MAG - MULHER - 59 ANOS.pdf
MAG_WL_INTEGRAL_10;F;60;66299.043634;;PDF;MAG\MULHER\MAG - MULHER - 60 ANOS.pdf
MAG_WL_INTEGRAL_10;F;61;68088.712891;;PDF;MAG\MULHER\MAG - MULHER - 61 ANOS.pdf
MAG_WL_INTEGRAL_10;F;62;69854.632397;;PDF;MAG\MULHER\MAG - MULHER - 62 ANOS.pdf
MAG_WL_INTEGRAL_10;F;63;71578.262602;;PDF;MAG\MULHER\MAG - MULHER - 63 ANOS.pdf
MAG_WL_INTEGRAL_10;F;64;73246.214385;;PDF;MAG\MULHER\MAG - MULHER - 64 ANOS.pdf
MAG_WL_INTEGRAL_10;F;65;74834.658298;;PDF;MAG\MULHER\MAG - MULHER - 65 ANOS.pdf
MAG_WL_INTEGRAL_10;F;66;76326.090855;;PDF;MAG\MULHER\MAG - MULHER - 66 ANOS.pdf
MAG_WL_INTEGRAL_10;F;67;77687.636979;;PDF;MAG\MULHER\MAG - MULHER - 67 ANOS.pdf
MAG_WL_INTEGRAL_10;F;68;78888.613270;;PDF;MAG\MULHER\MAG - MULHER - 68 ANOS.pdf
MAG_WL_INTEGRAL_10;F;69;79881.609882;;PDF;MAG\MULHER\MAG - MULHER - 69 ANOS.pdf
MAG_WL_INTEGRAL_10;F;70;80625.184300;;PDF;MAG\MULHER\MAG - MULHER - 70 ANOS.pdf
MAG_WL_INTEGRAL_10;F;71;82647.629010;;PDF;MAG\MULHER\MAG - MULHER - 71 ANOS.pdf
MAG_WL_INTEGRAL_10;F;72;84786.172544;;PDF;MAG\MULHER\MAG - MULHER - 72 ANOS.pdf
MAG_WL_INTEGRAL_10;F;73;87054.771867;;PDF;MAG\MULHER\MAG - MULHER - 73 ANOS.pdf
MAG_WL_INTEGRAL_10;F;74;89488.453875;;PDF;MAG\MULHER\MAG - MULHER - 74 ANOS.pdf
MAG_WL_INTEGRAL_10;F;75;92070.203228;;PDF;MAG\MULHER\MAG - MULHER - 75 ANOS.pdf
MAG_WL_INTEGRAL_10;F;76;94829.228930;;PDF;MAG\MULHER\MAG - MULHER - 76 ANOS.pdf
MAG_WL_INTEGRAL_10;F;77;97779.786810;;PDF;MAG\MULHER\MAG - MULHER - 77 ANOS.pdf
MAG_WL_INTEGRAL_10;F;78;101004.463040;;PDF;MAG\MULHER\MAG - MULHER - 78 ANOS.pdf
MAG_WL_INTEGRAL_10;F;79;104510.161387;;PDF;MAG\MULHER\MAG - MULHER - 79 ANOS.pdf
MAG_WL_INTEGRAL_10;F;80;108331.191472;;PDF;MAG\MULHER\MAG - MULHER - 80 ANOS.pdf
MAG_WL_INTEGRAL_10;M;16;26431.480375;;PDF;MAG\HOMEM_\MAG - HOMEM - 16 ANOS.pdf
MAG_WL_INTEGRAL_10;M;17;27061.625822;;PDF;MAG\HOMEM_\MAG - HOMEM - 17 ANOS.pdf
MAG_WL_INTEGRAL_10;M;18;27689.340506;;PDF;MAG\HOMEM_\MAG - HOMEM - 18 ANOS.pdf
MAG_WL_INTEGRAL_10;M;19;28302.440725;;PDF;MAG\HOMEM_\MAG - HOMEM - 19 ANOS.pdf
MAG_WL_INTEGRAL_10;M;20;28910.500100;;PDF;MAG\HOMEM_\MAG - HOMEM - 20 ANOS.pdf
MAG_WL_INTEGRAL_10;M;21;29523.171947;;PDF;MAG\HOMEM_\MAG - HOMEM - 21 ANOS.pdf
MAG_WL_INTEGRAL_10;M;22;30151.633792;;PDF;MAG\HOMEM_\MAG - HOMEM - 22 ANOS.pdf
MAG_WL_INTEGRAL_10;M;23;30796.383742;;PDF;MAG\HOMEM_\MAG - HOMEM - 23 ANOS.pdf
MAG_WL_INTEGRAL_10;M;24;31464.624427;;PDF;MAG\HOMEM_\MAG - HOMEM - 24 ANOS.pdf
MAG_WL_INTEGRAL_10;M;25;32154.423192;;PDF;MAG\HOMEM_\MAG - HOMEM - 25 ANOS.pdf
MAG_WL_INTEGRAL_10;M;26;32865.232118;;PDF;MAG\HOMEM_\MAG - HOMEM - 26 ANOS.pdf
MAG_WL_INTEGRAL_10;M;27;33596.224347;;PDF;MAG\HOMEM_\MAG - HOMEM - 27 ANOS.pdf
MAG_WL_INTEGRAL_10;M;28;34348.844391;;PDF;MAG\HOMEM_\MAG - HOMEM - 28 ANOS.pdf
MAG_WL_INTEGRAL_10;M;29;35124.297669;;PDF;MAG\HOMEM_\MAG - HOMEM - 29 ANOS.pdf
MAG_WL_INTEGRAL_10;M;30;35920.113568;;PDF;MAG\HOMEM_\MAG - HOMEM - 30 ANOS.pdf
MAG_WL_INTEGRAL_10;M;31;36736.710500;;PDF;MAG\HOMEM_\MAG - HOMEM - 31 ANOS.pdf
MAG_WL_INTEGRAL_10;M;32;37574.427177;;PDF;MAG\HOMEM_\MAG - HOMEM - 32 ANOS.pdf
MAG_WL_INTEGRAL_10;M;33;38433.672046;;PDF;MAG\HOMEM_\MAG - HOMEM - 33 ANOS.pdf
MAG_WL_INTEGRAL_10;M;34;39314.016736;;PDF;MAG\HOMEM_\MAG - HOMEM - 34 ANOS.pdf
MAG_WL_INTEGRAL_10;M;35;40217.613070;;PDF;MAG\HOMEM_\MAG - HOMEM - 35 ANOS.pdf
MAG_WL_INTEGRAL_10;M;36;41145.357641;;PDF;MAG\HOMEM_\MAG - HOMEM - 36 ANOS.pdf
MAG_WL_INTEGRAL_10;M;37;42096.871887;;PDF;MAG\HOMEM_\MAG - HOMEM - 37 ANOS.pdf
MAG_WL_INTEGRAL_10;M;38;43069.416218;;PDF;MAG\HOMEM_\MAG - HOMEM - 38 ANOS.pdf
MAG_WL_INTEGRAL_10;M;39;44067.473600;;PDF;MAG\HOMEM_\MAG - HOMEM - 39 ANOS.pdf
MAG_WL_INTEGRAL_10;M;40;45093.843395;;PDF;MAG\HOMEM_\MAG - HOMEM - 40 ANOS.pdf
MAG_WL_INTEGRAL_10;M;41;46147.738593;;PDF;MAG\HOMEM_\MAG - HOMEM - 41 ANOS.pdf
MAG_WL_INTEGRAL_10;M;42;47228.262602;;PDF;MAG\HOMEM_\MAG - HOMEM - 42 ANOS.pdf
MAG_WL_INTEGRAL_10;M;43;48334.259813;;PDF;MAG\HOMEM_\MAG - HOMEM - 43 ANOS.pdf
MAG_WL_INTEGRAL_10;M;44;49471.617852;;PDF;MAG\HOMEM_\MAG - HOMEM - 44 ANOS.pdf
MAG_WL_INTEGRAL_10;M;45;50641.771269;;PDF;MAG\HOMEM_\MAG - HOMEM - 45 ANOS.pdf
MAG_WL_INTEGRAL_10;M;46;51846.931660;;PDF;MAG\HOMEM_\MAG - HOMEM - 46 ANOS.pdf
MAG_WL_INTEGRAL_10;M;47;53087.856147;;PDF;MAG\HOMEM_\MAG - HOMEM - 47 ANOS.pdf
MAG_WL_INTEGRAL_10;M;48;54365.760112;;PDF;MAG\HOMEM_\MAG - HOMEM - 48 ANOS.pdf
MAG_WL_INTEGRAL_10;M;49;55678.312413;;PDF;MAG\HOMEM_\MAG - HOMEM - 49 ANOS.pdf
MAG_WL_INTEGRAL_10;M;50;57032.217573;;PDF;MAG\HOMEM_\MAG - HOMEM - 50 ANOS.pdf
