seguradora;produto;produto_pdf;sexo;idade;capital;premio_anual_sem_iof;premio_anual_com_iof;premio_mensal;anos_pagamento;data_cotacao;arquivo
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;39;1000000.0;47353.43;;4007.16;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 39 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;40;1000000.0;48616.77;;4114.7;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 40 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;41;1000000.0;49910.29;;4224.87;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 41 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;42;1000000.0;51232.07;;4337.53;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 42 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;43;1000000.0;52585.51;;4452.98;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 43 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;44;1000000.0;53969.53;;4571.16;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 44 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;45;1000000.0;55387.26;;4692.35;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 45 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;46;1000000.0;56838.74;;4816.57;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 46 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;47;1000000.0;58328.19;;4944.21;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 47 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;48;1000000.0;59858.1;;5075.49;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 48 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;49;1000000.0;61432.71;;5210.8;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 49 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;50;1000000.0;63053.16;;5350.26;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 50 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;51;1000000.0;64723.78;;5494.28;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 51 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;52;1000000.0;66442.2;;5642.69;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 52 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;53;1000000.0;68209.22;;5795.61;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 53 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;54;1000000.0;70024.16;;5953.04;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 54 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;55;1000000.0;71886.11;;6114.95;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 55 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;56;1000000.0;73800.54;;6281.86;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 56 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;57;1000000.0;75771.93;;6454.23;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 57 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;58;1000000.0;77811.49;;6633.09;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 58 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;59;1000000.0;79928.58;;6819.31;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 59 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;60;1000000.0;82133.21;;7013.86;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 60 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;61;1000000.0;84431.1;;7217.35;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 61 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;62;1000000.0;86827.98;;7430.43;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 62 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;63;1000000.0;89327.3;;7653.58;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 63 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;64;1000000.0;91931.89;;7887.25;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 64 ANOS.pdf
ICATU;ICATU_HORIZONTE_WL10;Vida Horizonte;M;65;1000000.0;94649.89;;8132.34;10;14/01/2026;ICATU\HOMEM\ICATU - HOMEM - 65 ANOS.pdf
